Timecode List:,00:00:01.233,00:00:02.167,00:00:03.667,00:00:05.400,00:00:09.100,00:00:10.133,00:00:11.767,00:00:13.233,00:00:14.633,00:00:16.500,00:00:19.000,00:00:21.100,00:00:23.033,00:00:23.933,00:00:25.300,00:00:25.967,00:00:26.633,00:00:28.000
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,37,00:00:01.233,1.233,37,00:00:01.233,1.233
2,37,00:00:01.233,1.233,65,00:00:02.167,2.167,28,00:00:00.933,0.933
3,65,00:00:02.167,2.167,110,00:00:03.667,3.667,45,00:00:01.500,1.500
4,110,00:00:03.667,3.667,162,00:00:05.400,5.400,52,00:00:01.733,1.733
5,162,00:00:05.400,5.400,273,00:00:09.100,9.100,111,00:00:03.700,3.700
6,273,00:00:09.100,9.100,304,00:00:10.133,10.133,31,00:00:01.033,1.033
7,304,00:00:10.133,10.133,353,00:00:11.767,11.767,49,00:00:01.633,1.633
8,353,00:00:11.767,11.767,397,00:00:13.233,13.233,44,00:00:01.467,1.467
9,397,00:00:13.233,13.233,439,00:00:14.633,14.633,42,00:00:01.400,1.400
10,439,00:00:14.633,14.633,495,00:00:16.500,16.500,56,00:00:01.867,1.867
11,495,00:00:16.500,16.500,570,00:00:19.000,19.000,75,00:00:02.500,2.500
12,570,00:00:19.000,19.000,633,00:00:21.100,21.100,63,00:00:02.100,2.100
13,633,00:00:21.100,21.100,691,00:00:23.033,23.033,58,00:00:01.933,1.933
14,691,00:00:23.033,23.033,718,00:00:23.933,23.933,27,00:00:00.900,0.900
15,718,00:00:23.933,23.933,759,00:00:25.300,25.300,41,00:00:01.367,1.367
16,759,00:00:25.300,25.300,779,00:00:25.967,25.967,20,00:00:00.667,0.667
17,779,00:00:25.967,25.967,799,00:00:26.633,26.633,20,00:00:00.667,0.667
18,799,00:00:26.633,26.633,840,00:00:28.000,28.000,41,00:00:01.367,1.367
19,840,00:00:28.000,28.000,899,00:00:29.967,29.967,59,00:00:01.967,1.967
