Timecode List:,00:00:01.167,00:00:02.433,00:00:03.600,00:00:04.400,00:00:05.167,00:00:05.767,00:00:06.433,00:00:07.800,00:00:09.067,00:00:10.567,00:00:11.400,00:00:13.633,00:00:15.700,00:00:16.333,00:00:17.167,00:00:18.267,00:00:18.933,00:00:20.667,00:00:24.767,00:00:26.667,00:00:27.933,00:00:30.700
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,35,00:00:01.167,1.167,35,00:00:01.167,1.167
2,35,00:00:01.167,1.167,73,00:00:02.433,2.433,38,00:00:01.267,1.267
3,73,00:00:02.433,2.433,108,00:00:03.600,3.600,35,00:00:01.167,1.167
4,108,00:00:03.600,3.600,132,00:00:04.400,4.400,24,00:00:00.800,0.800
5,132,00:00:04.400,4.400,155,00:00:05.167,5.167,23,00:00:00.767,0.767
6,155,00:00:05.167,5.167,173,00:00:05.767,5.767,18,00:00:00.600,0.600
7,173,00:00:05.767,5.767,193,00:00:06.433,6.433,20,00:00:00.667,0.667
8,193,00:00:06.433,6.433,234,00:00:07.800,7.800,41,00:00:01.367,1.367
9,234,00:00:07.800,7.800,272,00:00:09.067,9.067,38,00:00:01.267,1.267
10,272,00:00:09.067,9.067,317,00:00:10.567,10.567,45,00:00:01.500,1.500
11,317,00:00:10.567,10.567,342,00:00:11.400,11.400,25,00:00:00.833,0.833
12,342,00:00:11.400,11.400,409,00:00:13.633,13.633,67,00:00:02.233,2.233
13,409,00:00:13.633,13.633,471,00:00:15.700,15.700,62,00:00:02.067,2.067
14,471,00:00:15.700,15.700,490,00:00:16.333,16.333,19,00:00:00.633,0.633
15,490,00:00:16.333,16.333,515,00:00:17.167,17.167,25,00:00:00.833,0.833
16,515,00:00:17.167,17.167,548,00:00:18.267,18.267,33,00:00:01.100,1.100
17,548,00:00:18.267,18.267,568,00:00:18.933,18.933,20,00:00:00.667,0.667
18,568,00:00:18.933,18.933,620,00:00:20.667,20.667,52,00:00:01.733,1.733
19,620,00:00:20.667,20.667,743,00:00:24.767,24.767,123,00:00:04.100,4.100
20,743,00:00:24.767,24.767,800,00:00:26.667,26.667,57,00:00:01.900,1.900
21,800,00:00:26.667,26.667,838,00:00:27.933,27.933,38,00:00:01.267,1.267
22,838,00:00:27.933,27.933,921,00:00:30.700,30.700,83,00:00:02.767,2.767
23,921,00:00:30.700,30.700,1070,00:00:35.667,35.667,149,00:00:04.967,4.967
