Timecode List:,00:00:05.067,00:00:06.633,00:00:07.867,00:00:08.867,00:00:09.800,00:00:10.567,00:00:11.767,00:00:12.633,00:00:14.100,00:00:15.933,00:00:17.533,00:00:18.200,00:00:19.533,00:00:20.700,00:00:21.367,00:00:22.500,00:00:24.400,00:00:26.300,00:00:27.367,00:00:29.500,00:00:30.333,00:00:31.167,00:00:32.500,00:00:33.600,00:00:34.467,00:00:36.300,00:00:38.433,00:00:39.767,00:00:41.100,00:00:42.167,00:00:44.000,00:00:44.733,00:00:45.733,00:00:46.500,00:00:48.200,00:00:49.867,00:00:51.300,00:00:51.900,00:00:52.533,00:00:53.133,00:00:53.733,00:00:55.267,00:00:57.267,00:00:58.600,00:00:59.700,00:01:02.000,00:01:03.667,00:01:05.233,00:01:08.500,00:01:10.800
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,152,00:00:05.067,5.067,152,00:00:05.067,5.067
2,152,00:00:05.067,5.067,199,00:00:06.633,6.633,47,00:00:01.567,1.567
3,199,00:00:06.633,6.633,236,00:00:07.867,7.867,37,00:00:01.233,1.233
4,236,00:00:07.867,7.867,266,00:00:08.867,8.867,30,00:00:01.000,1.000
5,266,00:00:08.867,8.867,294,00:00:09.800,9.800,28,00:00:00.933,0.933
6,294,00:00:09.800,9.800,317,00:00:10.567,10.567,23,00:00:00.767,0.767
7,317,00:00:10.567,10.567,353,00:00:11.767,11.767,36,00:00:01.200,1.200
8,353,00:00:11.767,11.767,379,00:00:12.633,12.633,26,00:00:00.867,0.867
9,379,00:00:12.633,12.633,423,00:00:14.100,14.100,44,00:00:01.467,1.467
10,423,00:00:14.100,14.100,478,00:00:15.933,15.933,55,00:00:01.833,1.833
11,478,00:00:15.933,15.933,526,00:00:17.533,17.533,48,00:00:01.600,1.600
12,526,00:00:17.533,17.533,546,00:00:18.200,18.200,20,00:00:00.667,0.667
13,546,00:00:18.200,18.200,586,00:00:19.533,19.533,40,00:00:01.333,1.333
14,586,00:00:19.533,19.533,621,00:00:20.700,20.700,35,00:00:01.167,1.167
15,621,00:00:20.700,20.700,641,00:00:21.367,21.367,20,00:00:00.667,0.667
16,641,00:00:21.367,21.367,675,00:00:22.500,22.500,34,00:00:01.133,1.133
17,675,00:00:22.500,22.500,732,00:00:24.400,24.400,57,00:00:01.900,1.900
18,732,00:00:24.400,24.400,789,00:00:26.300,26.300,57,00:00:01.900,1.900
19,789,00:00:26.300,26.300,821,00:00:27.367,27.367,32,00:00:01.067,1.067
20,821,00:00:27.367,27.367,885,00:00:29.500,29.500,64,00:00:02.133,2.133
21,885,00:00:29.500,29.500,910,00:00:30.333,30.333,25,00:00:00.833,0.833
22,910,00:00:30.333,30.333,935,00:00:31.167,31.167,25,00:00:00.833,0.833
23,935,00:00:31.167,31.167,975,00:00:32.500,32.500,40,00:00:01.333,1.333
24,975,00:00:32.500,32.500,1008,00:00:33.600,33.600,33,00:00:01.100,1.100
25,1008,00:00:33.600,33.600,1034,00:00:34.467,34.467,26,00:00:00.867,0.867
26,1034,00:00:34.467,34.467,1089,00:00:36.300,36.300,55,00:00:01.833,1.833
27,1089,00:00:36.300,36.300,1153,00:00:38.433,38.433,64,00:00:02.133,2.133
28,1153,00:00:38.433,38.433,1193,00:00:39.767,39.767,40,00:00:01.333,1.333
29,1193,00:00:39.767,39.767,1233,00:00:41.100,41.100,40,00:00:01.333,1.333
30,1233,00:00:41.100,41.100,1265,00:00:42.167,42.167,32,00:00:01.067,1.067
31,1265,00:00:42.167,42.167,1320,00:00:44.000,44.000,55,00:00:01.833,1.833
32,1320,00:00:44.000,44.000,1342,00:00:44.733,44.733,22,00:00:00.733,0.733
33,1342,00:00:44.733,44.733,1372,00:00:45.733,45.733,30,00:00:01.000,1.000
34,1372,00:00:45.733,45.733,1395,00:00:46.500,46.500,23,00:00:00.767,0.767
35,1395,00:00:46.500,46.500,1446,00:00:48.200,48.200,51,00:00:01.700,1.700
36,1446,00:00:48.200,48.200,1496,00:00:49.867,49.867,50,00:00:01.667,1.667
37,1496,00:00:49.867,49.867,1539,00:00:51.300,51.300,43,00:00:01.433,1.433
38,1539,00:00:51.300,51.300,1557,00:00:51.900,51.900,18,00:00:00.600,0.600
39,1557,00:00:51.900,51.900,1576,00:00:52.533,52.533,19,00:00:00.633,0.633
40,1576,00:00:52.533,52.533,1594,00:00:53.133,53.133,18,00:00:00.600,0.600
41,1594,00:00:53.133,53.133,1612,00:00:53.733,53.733,18,00:00:00.600,0.600
42,1612,00:00:53.733,53.733,1658,00:00:55.267,55.267,46,00:00:01.533,1.533
43,1658,00:00:55.267,55.267,1718,00:00:57.267,57.267,60,00:00:02.000,2.000
44,1718,00:00:57.267,57.267,1758,00:00:58.600,58.600,40,00:00:01.333,1.333
45,1758,00:00:58.600,58.600,1791,00:00:59.700,59.700,33,00:00:01.100,1.100
46,1791,00:00:59.700,59.700,1860,00:01:02.000,62.000,69,00:00:02.300,2.300
47,1860,00:01:02.000,62.000,1910,00:01:03.667,63.667,50,00:00:01.667,1.667
48,1910,00:01:03.667,63.667,1957,00:01:05.233,65.233,47,00:00:01.567,1.567
49,1957,00:01:05.233,65.233,2055,00:01:08.500,68.500,98,00:00:03.267,3.267
50,2055,00:01:08.500,68.500,2124,00:01:10.800,70.800,69,00:00:02.300,2.300
51,2124,00:01:10.800,70.800,2282,00:01:16.067,76.067,158,00:00:05.267,5.267
