Timecode List:,00:00:01.633,00:00:02.233,00:00:02.867,00:00:03.500,00:00:05.200,00:00:05.800,00:00:07.000,00:00:09.867,00:00:12.100,00:00:16.533,00:00:17.133,00:00:17.733,00:00:18.333,00:00:18.933,00:00:19.533,00:00:22.300,00:00:23.600,00:00:26.433,00:00:28.867,00:00:29.533,00:00:31.500,00:00:34.033,00:00:35.667,00:00:37.400,00:00:41.600,00:00:43.733,00:00:45.500,00:00:47.600,00:00:50.933,00:00:53.433,00:00:54.067,00:00:54.800,00:00:55.400,00:00:56.000,00:00:56.600,00:00:57.200,00:00:59.800
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,49,00:00:01.633,1.633,49,00:00:01.633,1.633
2,49,00:00:01.633,1.633,67,00:00:02.233,2.233,18,00:00:00.600,0.600
3,67,00:00:02.233,2.233,86,00:00:02.867,2.867,19,00:00:00.633,0.633
4,86,00:00:02.867,2.867,105,00:00:03.500,3.500,19,00:00:00.633,0.633
5,105,00:00:03.500,3.500,156,00:00:05.200,5.200,51,00:00:01.700,1.700
6,156,00:00:05.200,5.200,174,00:00:05.800,5.800,18,00:00:00.600,0.600
7,174,00:00:05.800,5.800,210,00:00:07.000,7.000,36,00:00:01.200,1.200
8,210,00:00:07.000,7.000,296,00:00:09.867,9.867,86,00:00:02.867,2.867
9,296,00:00:09.867,9.867,363,00:00:12.100,12.100,67,00:00:02.233,2.233
10,363,00:00:12.100,12.100,496,00:00:16.533,16.533,133,00:00:04.433,4.433
11,496,00:00:16.533,16.533,514,00:00:17.133,17.133,18,00:00:00.600,0.600
12,514,00:00:17.133,17.133,532,00:00:17.733,17.733,18,00:00:00.600,0.600
13,532,00:00:17.733,17.733,550,00:00:18.333,18.333,18,00:00:00.600,0.600
14,550,00:00:18.333,18.333,568,00:00:18.933,18.933,18,00:00:00.600,0.600
15,568,00:00:18.933,18.933,586,00:00:19.533,19.533,18,00:00:00.600,0.600
16,586,00:00:19.533,19.533,669,00:00:22.300,22.300,83,00:00:02.767,2.767
17,669,00:00:22.300,22.300,708,00:00:23.600,23.600,39,00:00:01.300,1.300
18,708,00:00:23.600,23.600,793,00:00:26.433,26.433,85,00:00:02.833,2.833
19,793,00:00:26.433,26.433,866,00:00:28.867,28.867,73,00:00:02.433,2.433
20,866,00:00:28.867,28.867,886,00:00:29.533,29.533,20,00:00:00.667,0.667
21,886,00:00:29.533,29.533,945,00:00:31.500,31.500,59,00:00:01.967,1.967
22,945,00:00:31.500,31.500,1021,00:00:34.033,34.033,76,00:00:02.533,2.533
23,1021,00:00:34.033,34.033,1070,00:00:35.667,35.667,49,00:00:01.633,1.633
24,1070,00:00:35.667,35.667,1122,00:00:37.400,37.400,52,00:00:01.733,1.733
25,1122,00:00:37.400,37.400,1248,00:00:41.600,41.600,126,00:00:04.200,4.200
26,1248,00:00:41.600,41.600,1312,00:00:43.733,43.733,64,00:00:02.133,2.133
27,1312,00:00:43.733,43.733,1365,00:00:45.500,45.500,53,00:00:01.767,1.767
28,1365,00:00:45.500,45.500,1428,00:00:47.600,47.600,63,00:00:02.100,2.100
29,1428,00:00:47.600,47.600,1528,00:00:50.933,50.933,100,00:00:03.333,3.333
30,1528,00:00:50.933,50.933,1603,00:00:53.433,53.433,75,00:00:02.500,2.500
31,1603,00:00:53.433,53.433,1622,00:00:54.067,54.067,19,00:00:00.633,0.633
32,1622,00:00:54.067,54.067,1644,00:00:54.800,54.800,22,00:00:00.733,0.733
33,1644,00:00:54.800,54.800,1662,00:00:55.400,55.400,18,00:00:00.600,0.600
34,1662,00:00:55.400,55.400,1680,00:00:56.000,56.000,18,00:00:00.600,0.600
35,1680,00:00:56.000,56.000,1698,00:00:56.600,56.600,18,00:00:00.600,0.600
36,1698,00:00:56.600,56.600,1716,00:00:57.200,57.200,18,00:00:00.600,0.600
37,1716,00:00:57.200,57.200,1794,00:00:59.800,59.800,78,00:00:02.600,2.600
38,1794,00:00:59.800,59.800,1795,00:00:59.833,59.833,1,00:00:00.033,0.033
