Timecode List:,00:00:02.267,00:00:03.733,00:00:05.700,00:00:06.733,00:00:08.267,00:00:09.667,00:00:11.433,00:00:13.300,00:00:14.433,00:00:15.267,00:00:18.000,00:00:19.300,00:00:21.633,00:00:22.633,00:00:23.600,00:00:25.300,00:00:28.800,00:00:29.900,00:00:31.267,00:00:32.433,00:00:33.833,00:00:34.700,00:00:35.667,00:00:36.667,00:00:37.500,00:00:38.533,00:00:39.933,00:00:40.833,00:00:41.833,00:00:42.700,00:00:43.833,00:00:44.733,00:00:45.667,00:00:46.833,00:00:47.867,00:00:48.500,00:00:50.467,00:00:54.067
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,68,00:00:02.267,2.267,68,00:00:02.267,2.267
2,68,00:00:02.267,2.267,112,00:00:03.733,3.733,44,00:00:01.467,1.467
3,112,00:00:03.733,3.733,171,00:00:05.700,5.700,59,00:00:01.967,1.967
4,171,00:00:05.700,5.700,202,00:00:06.733,6.733,31,00:00:01.033,1.033
5,202,00:00:06.733,6.733,248,00:00:08.267,8.267,46,00:00:01.533,1.533
6,248,00:00:08.267,8.267,290,00:00:09.667,9.667,42,00:00:01.400,1.400
7,290,00:00:09.667,9.667,343,00:00:11.433,11.433,53,00:00:01.767,1.767
8,343,00:00:11.433,11.433,399,00:00:13.300,13.300,56,00:00:01.867,1.867
9,399,00:00:13.300,13.300,433,00:00:14.433,14.433,34,00:00:01.133,1.133
10,433,00:00:14.433,14.433,458,00:00:15.267,15.267,25,00:00:00.833,0.833
11,458,00:00:15.267,15.267,540,00:00:18.000,18.000,82,00:00:02.733,2.733
12,540,00:00:18.000,18.000,579,00:00:19.300,19.300,39,00:00:01.300,1.300
13,579,00:00:19.300,19.300,649,00:00:21.633,21.633,70,00:00:02.333,2.333
14,649,00:00:21.633,21.633,679,00:00:22.633,22.633,30,00:00:01.000,1.000
15,679,00:00:22.633,22.633,708,00:00:23.600,23.600,29,00:00:00.967,0.967
16,708,00:00:23.600,23.600,759,00:00:25.300,25.300,51,00:00:01.700,1.700
17,759,00:00:25.300,25.300,864,00:00:28.800,28.800,105,00:00:03.500,3.500
18,864,00:00:28.800,28.800,897,00:00:29.900,29.900,33,00:00:01.100,1.100
19,897,00:00:29.900,29.900,938,00:00:31.267,31.267,41,00:00:01.367,1.367
20,938,00:00:31.267,31.267,973,00:00:32.433,32.433,35,00:00:01.167,1.167
21,973,00:00:32.433,32.433,1015,00:00:33.833,33.833,42,00:00:01.400,1.400
22,1015,00:00:33.833,33.833,1041,00:00:34.700,34.700,26,00:00:00.867,0.867
23,1041,00:00:34.700,34.700,1070,00:00:35.667,35.667,29,00:00:00.967,0.967
24,1070,00:00:35.667,35.667,1100,00:00:36.667,36.667,30,00:00:01.000,1.000
25,1100,00:00:36.667,36.667,1125,00:00:37.500,37.500,25,00:00:00.833,0.833
26,1125,00:00:37.500,37.500,1156,00:00:38.533,38.533,31,00:00:01.033,1.033
27,1156,00:00:38.533,38.533,1198,00:00:39.933,39.933,42,00:00:01.400,1.400
28,1198,00:00:39.933,39.933,1225,00:00:40.833,40.833,27,00:00:00.900,0.900
29,1225,00:00:40.833,40.833,1255,00:00:41.833,41.833,30,00:00:01.000,1.000
30,1255,00:00:41.833,41.833,1281,00:00:42.700,42.700,26,00:00:00.867,0.867
31,1281,00:00:42.700,42.700,1315,00:00:43.833,43.833,34,00:00:01.133,1.133
32,1315,00:00:43.833,43.833,1342,00:00:44.733,44.733,27,00:00:00.900,0.900
33,1342,00:00:44.733,44.733,1370,00:00:45.667,45.667,28,00:00:00.933,0.933
34,1370,00:00:45.667,45.667,1405,00:00:46.833,46.833,35,00:00:01.167,1.167
35,1405,00:00:46.833,46.833,1436,00:00:47.867,47.867,31,00:00:01.033,1.033
36,1436,00:00:47.867,47.867,1455,00:00:48.500,48.500,19,00:00:00.633,0.633
37,1455,00:00:48.500,48.500,1514,00:00:50.467,50.467,59,00:00:01.967,1.967
38,1514,00:00:50.467,50.467,1622,00:00:54.067,54.067,108,00:00:03.600,3.600
39,1622,00:00:54.067,54.067,1801,00:01:00.033,60.033,179,00:00:05.967,5.967
