Timecode List:,00:00:06.233,00:00:10.333,00:00:11.900,00:00:13.200,00:00:16.333,00:00:18.733,00:00:19.833,00:00:22.433,00:00:23.533,00:00:24.533,00:00:30.033
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,187,00:00:06.233,6.233,187,00:00:06.233,6.233
2,187,00:00:06.233,6.233,310,00:00:10.333,10.333,123,00:00:04.100,4.100
3,310,00:00:10.333,10.333,357,00:00:11.900,11.900,47,00:00:01.567,1.567
4,357,00:00:11.900,11.900,396,00:00:13.200,13.200,39,00:00:01.300,1.300
5,396,00:00:13.200,13.200,490,00:00:16.333,16.333,94,00:00:03.133,3.133
6,490,00:00:16.333,16.333,562,00:00:18.733,18.733,72,00:00:02.400,2.400
7,562,00:00:18.733,18.733,595,00:00:19.833,19.833,33,00:00:01.100,1.100
8,595,00:00:19.833,19.833,673,00:00:22.433,22.433,78,00:00:02.600,2.600
9,673,00:00:22.433,22.433,706,00:00:23.533,23.533,33,00:00:01.100,1.100
10,706,00:00:23.533,23.533,736,00:00:24.533,24.533,30,00:00:01.000,1.000
11,736,00:00:24.533,24.533,901,00:00:30.033,30.033,165,00:00:05.500,5.500
12,901,00:00:30.033,30.033,928,00:00:30.933,30.933,27,00:00:00.900,0.900
