adID,userID,FA-S.1,FA-S.2,FA-S.3,PU-S.1,PU-S.2,PU-S.3,AE-S.1,AE-S.2,AE-S.3,RW-S.1,RW-S.2,RW-S.3,FA,PU,AE,RW
AD_01,1005,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1.333333333
AD_01,1039,1,1,4,1,1,1,4,5,5,4,4,4,2,1,4.666666667,4
AD_01,1063,3,1,4,2,3,3,4,4,4,2,4,4,2.666666667,2.666666667,4,3.333333333
AD_01,1087,3,4,2,1,1,1,5,4,4,4,4,5,3,1,4.333333333,4.333333333
AD_01,1110,2,3,3,4,2,2,3,3,2,4,1,4,2.666666667,2.666666667,2.666666667,3
AD_02,1001,3,3,3,3,2,3,4,4,4,4,4,4,3,2.666666667,4,4
AD_02,1040,5,5,5,3,1,1,5,5,5,5,5,5,5,1.666666667,5,5
AD_02,1088,3,5,5,5,5,1,5,5,5,5,5,5,4.333333333,3.666666667,5,5
AD_02,1114,2,3,2,2,4,3,4,4,3,2,2,2,2.333333333,3,3.666666667,2
AD_02,1136,2,4,3,2,4,3,3,4,3,3,4,3,3,3,3.333333333,3.333333333
AD_03,1003,3,4,4,1,1,1,4,5,4,4,4,4,3.666666667,1,4.333333333,4
AD_03,1042,2,4,2,1,1,1,4,4,4,4,4,4,2.666666667,1,4,4
AD_03,1064,2,2,3,1,1,2,3,4,3,3,3,4,2.333333333,1.333333333,3.333333333,3.333333333
AD_03,1089,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
AD_03,1111,4,5,4,1,4,2,4,4,4,4,4,4,4.333333333,2.333333333,4,4
AD_04,1002,4,4,4,4,5,4,4,4,5,3,4,4,4,4.333333333,4.333333333,3.666666667
AD_04,1041,4,4,4,1,1,1,4,4,4,4,4,4,4,1,4,4
AD_04,1065,2,2,3,2,2,2,3,4,3,3,3,4,2.333333333,2,3.333333333,3.333333333
AD_04,1090,4,5,4,1,1,1,4,5,4,4,4,4,4.333333333,1,4.333333333,4
AD_04,1115,2,2,3,4,3,5,2,3,3,2,2,3,2.333333333,4,2.666666667,2.333333333
AD_05,1004,1,2,3,1,1,2,4,4,4,4,3,4,2,1.333333333,4,3.666666667
AD_05,1066,4,5,5,1,1,1,5,5,4,4,4,5,4.666666667,1,4.666666667,4.333333333
AD_05,1091,2,4,4,1,1,1,5,5,4,5,3,3,3.333333333,1,4.666666667,3.666666667
AD_05,1112,1,5,5,1,1,1,1,4,4,4,2,4,3.666666667,1,3,3.333333333
AD_05,1139,3,2,4,1,1,2,3,4,4,4,4,5,3,1.333333333,3.666666667,4.333333333
AD_06,1006,3,4,4,1,4,1,1,4,4,3,2,5,3.666666667,2,3,3.333333333
AD_06,1043,2,2,3,4,4,4,3,1,1,3,3,3,2.333333333,4,1.666666667,3
AD_06,1067,4,1,4,5,4,3,4,4,2,1,1,4,3,4,3.333333333,2
AD_06,1092,1,3,2,1,5,2,3,4,2,2,2,3,2,2.666666667,3,2.333333333
AD_06,1113,1,4,4,2,2,1,4,4,4,4,4,5,3,1.666666667,4,4.333333333
AD_07,1007,2,4,2,1,1,1,4,5,4,3,3,3,2.666666667,1,4.333333333,3
AD_07,1045,1,2,4,1,1,1,3,4,4,4,3,4,2.333333333,1,3.666666667,3.666666667
AD_07,1069,1,1,1,1,1,4,3,4,2,1,1,1,1,2,3,1
AD_07,1094,3,3,2,1,5,3,1,1,1,1,2,1,2.666666667,3,1,1.333333333
AD_07,1116,1,4,4,5,5,2,1,2,1,1,1,2,3,4,1.333333333,1.333333333
AD_08,1009,2,4,4,1,1,1,5,5,5,5,5,5,3.333333333,1,5,5
AD_08,1046,2,4,1,1,1,1,1,3,3,2,3,2,2.333333333,1,2.333333333,2.333333333
AD_08,1070,2,1,1,1,1,1,3,3,4,4,4,5,1.333333333,1,3.333333333,4.333333333
AD_08,1093,3,4,4,1,1,1,4,4,3,3,3,4,3.666666667,1,3.666666667,3.333333333
AD_08,1117,1,3,4,1,1,1,5,4,4,4,4,4,2.666666667,1,4.333333333,4
AD_09,1008,2,3,4,1,4,1,3,2,4,3,2,3,3,2,3,2.666666667
AD_09,1047,2,2,2,2,4,1,3,2,2,2,3,3,2,2.333333333,2.333333333,2.666666667
AD_09,1071,4,5,4,5,4,5,4,5,4,4,4,5,4.333333333,4.666666667,4.333333333,4.333333333
AD_09,1095,2,2,2,3,4,3,2,2,2,2,3,4,2,3.333333333,2,3
AD_09,1121,3,4,5,1,4,1,3,2,4,4,3,5,4,2,3,4
AD_10,1010,2,3,4,1,1,1,4,4,4,4,3,4,3,1,4,3.666666667
AD_10,1048,1,2,4,1,3,1,5,4,3,4,4,4,2.333333333,1.666666667,4,4
AD_10,1072,2,3,4,3,2,2,4,4,4,4,4,4,3,2.333333333,4,4
AD_10,1096,4,2,4,1,5,2,5,5,4,3,3,4,3.333333333,2.666666667,4.666666667,3.333333333
AD_10,1118,3,2,4,1,2,2,3,3,4,3,3,4,3,1.666666667,3.333333333,3.333333333
AD_11,1011,3,3,3,2,2,4,4,4,4,4,4,4,3,2.666666667,4,4
AD_11,1049,1,1,5,1,1,1,5,5,5,5,5,5,2.333333333,1,5,5
AD_11,1073,2,2,3,4,1,2,3,4,4,2,2,3,2.333333333,2.333333333,3.666666667,2.333333333
AD_11,1097,3,4,4,1,3,1,4,5,4,4,3,4,3.666666667,1.666666667,4.333333333,3.666666667
AD_11,1119,5,5,4,4,2,2,2,3,4,3,3,3,4.666666667,2.666666667,3,3
AD_12,1012,3,4,4,2,2,2,4,5,4,4,4,4,3.666666667,2,4.333333333,4
AD_12,1050,4,4,4,2,2,2,3,4,4,4,4,4,4,2,3.666666667,4
AD_12,1074,5,5,5,1,1,1,5,4,5,5,5,5,5,1,4.666666667,5
AD_12,1120,3,2,4,2,1,2,4,4,3,3,2,4,3,1.666666667,3.666666667,3
